"","location","TIME","gdpv_annpct_quarterly"
"750","BEL",2014.25,0.248377
"751","BEL",2014.5,0.395814
"752","BEL",2014.75,0.297947
"753","BEL",2015,0.315066
"754","BEL",2015.25,0.495543
"755","BEL",2015.5,0.217281
"756","BRA",1996.25,0.282406
"757","BRA",1996.5,3.532374
"758","BRA",1996.75,-0.942966
"759","BRA",1997,1.075333
"760","BRA",1997.25,0.29738
"761","BRA",1997.5,1.5118
"762","BRA",1997.75,0.847442
"763","BRA",1998,-2.365002
"764","BRA",1998.25,2.131609
"765","BRA",1998.5,-0.0346
"766","BRA",1998.75,-1.13239
"767","BRA",1999,-0.26493
"768","BRA",1999.25,0.948359
"769","BRA",1999.5,-0.012721
"770","BRA",1999.75,1.507452
"771","BRA",2000,1.688214
"772","BRA",2000.25,0.65272
"773","BRA",2000.5,0.901701
"774","BRA",2000.75,1.319227
"775","BRA",2001,0.389092
"776","BRA",2001.25,-0.324818
"777","BRA",2001.5,-0.836886
"778","BRA",2001.75,0.240122
"779","BRA",2002,1.99958
"780","BRA",2002.25,0.260649
"781","BRA",2002.5,1.730085
"782","BRA",2002.75,1.163784
"783","BRA",2003,-1.195793
"784","BRA",2003.25,-0.288355
"785","BRA",2003.5,0.940119
"786","BRA",2003.75,1.205707
"787","BRA",2004,1.883623
"788","BRA",2004.25,2.076826
"789","BRA",2004.5,1.373884
"790","BRA",2004.75,0.845177
"791","BRA",2005,0.257331
"792","BRA",2005.25,1.353918
"793","BRA",2005.5,-0.304702
"794","BRA",2005.75,0.873964
"795","BRA",2006,1.609289
"796","BRA",2006.25,0.640494
"797","BRA",2006.5,1.403245
"798","BRA",2006.75,1.075122
"799","BRA",2007,1.849525
"800","BRA",2007.25,2.087267
"801","BRA",2007.5,0.828593
"802","BRA",2007.75,1.710782
"803","BRA",2008,1.808225
"804","BRA",2008.25,1.364111
"805","BRA",2008.5,2.022745
"806","BRA",2008.75,-4.096017
"807","BRA",2009,-1.935934
"808","BRA",2009.25,2.413288
"809","BRA",2009.5,2.52207
"810","BRA",2009.75,2.29527
"811","BRA",2010,1.598369
"812","BRA",2010.25,1.825493
"813","BRA",2010.5,1.074856
"814","BRA",2010.75,1.093761
"815","BRA",2011,0.981459
"816","BRA",2011.25,1.417698
"817","BRA",2011.5,-0.057942
"818","BRA",2011.75,0.186148
"819","BRA",2012,0.038652
"820","BRA",2012.25,0.833944
"821","BRA",2012.5,1.479469
"822","BRA",2012.75,0.180828
"823","BRA",2013,0.517021
"824","BRA",2013.25,1.538635
"825","BRA",2013.5,0.592826
"826","BRA",2013.75,-0.240581
"827","BRA",2014,0.622478
