"","TIME","location","gini_toth"
"564",1985,"LVA",0.232
"565",1986,"LVA",0.229
"566",1987,"LVA",0.225
"567",1988,"LVA",0.221
"568",1989,"LVA",0.233
"569",1990,"LVA",0.225
"570",1991,"LVA",0.247
"571",1992,"LVA",0.25
"572",1993,"LVA",0.265
"573",1994,"LVA",0.284
"574",1995,"LVA",0.293
"575",1996,"LVA",0.306
"576",1997,"LVA",0.307
"577",1998,"LVA",0.319
"578",1999,"LVA",0.323
"579",2000,"LVA",0.332
"580",2001,"LVA",0.334
"581",2002,"LVA",0.343
"582",2003,"LVA",0.347
"583",2004,"LVA",0.36
"584",2005,"LVA",0.36
"585",2006,"LVA",0.371
"586",2007,"LVA",0.364
"587",2008,"LVA",0.369
"588",2009,"LVA",0.365
"589",2010,"LVA",0.366
"590",1980,"LTU",NA
"591",1981,"LTU",0.223
"592",1982,"LTU",0.222
"593",1983,"LTU",0.221
"594",1984,"LTU",0.22
"595",1985,"LTU",0.218
"596",1986,"LTU",0.217
"597",1987,"LTU",0.222
"598",1988,"LTU",0.226
"599",1989,"LTU",0.238
"600",1990,"LTU",0.228
"601",1991,"LTU",0.264
"602",1992,"LTU",0.3
"603",1993,"LTU",0.323
"604",1994,"LTU",0.331
"605",1995,"LTU",0.331
"606",1996,"LTU",0.334
"607",1997,"LTU",0.327
"608",1998,"LTU",0.329
"609",1999,"LTU",0.328
"610",2000,"LTU",0.331
"611",2001,"LTU",0.329
"612",2002,"LTU",0.324
"613",2003,"LTU",0.327
"614",2004,"LTU",0.327
"615",2005,"LTU",0.341
"616",2006,"LTU",0.344
"617",2007,"LTU",0.353
"618",2008,"LTU",0.354
"619",2009,"LTU",0.357
"620",2010,"LTU",0.364
"621",1980,"LUX",NA
"622",1981,"LUX",NA
"623",1982,"LUX",NA
"624",1983,"LUX",NA
"625",1984,"LUX",NA
"626",1985,"LUX",0.233
"627",1986,"LUX",NA
"628",1987,"LUX",NA
"629",1988,"LUX",NA
"630",1989,"LUX",NA
"631",1990,"LUX",NA
"632",1991,"LUX",0.234
"633",1992,"LUX",NA
"634",1993,"LUX",NA
"635",1994,"LUX",0.233
"636",1995,"LUX",NA
"637",1996,"LUX",NA
"638",1997,"LUX",0.259
"639",1998,"LUX",NA
"640",1999,"LUX",NA
"641",2000,"LUX",0.264
"642",2001,"LUX",NA
"643",2002,"LUX",NA
"644",2003,"LUX",NA
"645",2004,"LUX",0.271
"646",2005,"LUX",NA
"647",2006,"LUX",NA
"648",2007,"LUX",NA
"649",2008,"LUX",NA
"650",2009,"LUX",NA
"651",2010,"LUX",0.276
"652",1980,"NLD",NA
"653",1981,"NLD",0.244
"654",1982,"NLD",NA
"655",1983,"NLD",0.252
"656",1984,"NLD",NA
"657",1985,"NLD",0.243
"658",1986,"NLD",NA
"659",1987,"NLD",0.236
"660",1988,"NLD",NA
"661",1989,"NLD",0.256
"662",1990,"NLD",0.273
"663",1991,"NLD",0.273
"664",1992,"NLD",0.269
"665",1993,"NLD",0.271
"666",1994,"NLD",0.27
"667",1995,"NLD",0.268
"668",1996,"NLD",0.272
"669",1997,"NLD",0.267
"670",1998,"NLD",0.267
"671",1999,"NLD",0.269
"672",2000,"NLD",0.285
"673",2001,"NLD",0.278
"674",2002,"NLD",0.279
"675",2003,"NLD",0.278
"676",2004,"NLD",0.281
"677",2005,"NLD",0.281
"678",2006,"NLD",0.276
"679",2007,"NLD",0.29
"680",2008,"NLD",0.282
"681",2009,"NLD",0.281
"682",2010,"NLD",0.287
"683",1980,"POL",NA
"684",1981,"POL",NA
"685",1982,"POL",NA
"686",1983,"POL",0.245
"687",1984,"POL",0.258
"688",1985,"POL",0.253
"689",1986,"POL",0.25
"690",1987,"POL",0.25
"691",1988,"POL",0.246
"692",1989,"POL",0.268
"693",1990,"POL",0.256
"694",1991,"POL",0.243
"695",1992,"POL",0.252
"696",1993,"POL",0.284
"697",1994,"POL",0.303
"698",1995,"POL",0.295
"699",1996,"POL",0.304
"700",1997,"POL",0.317
"701",1998,"POL",0.286
"702",1999,"POL",0.289
"703",2000,"POL",0.302
"704",2001,"POL",0.301
"705",2002,"POL",0.307
"706",2003,"POL",0.31
"707",2004,"POL",0.313
"708",2005,"POL",0.315
"709",2006,"POL",0.31
"710",2007,"POL",0.314
"711",2008,"POL",0.312
"712",2009,"POL",0.31
"713",2010,"POL",0.319
"714",1980,"PRT",NA
"715",1981,"PRT",NA
"716",1982,"PRT",NA
"717",1983,"PRT",NA
"718",1984,"PRT",NA
"719",1985,"PRT",NA
"720",1986,"PRT",NA
"721",1987,"PRT",NA
"722",1988,"PRT",NA
"723",1989,"PRT",NA
"724",1990,"PRT",NA
"725",1991,"PRT",NA
"726",1992,"PRT",NA
"727",1993,"PRT",0.387
"728",1994,"PRT",0.373
"729",1995,"PRT",0.359
"730",1996,"PRT",0.36
"731",1997,"PRT",0.361
"732",1998,"PRT",0.356
"733",1999,"PRT",0.35
"734",2000,"PRT",0.362
"735",2001,"PRT",NA
"736",2002,"PRT",NA
"737",2003,"PRT",0.378
"738",2004,"PRT",0.383
"739",2005,"PRT",0.377
"740",2006,"PRT",0.37
"741",2007,"PRT",0.36
"742",2008,"PRT",0.355
"743",2009,"PRT",0.339
"744",2010,"PRT",0.345
"745",1980,"ROM",NA
"746",1981,"ROM",NA
"747",1982,"ROM",NA
"748",1983,"ROM",NA
"749",1984,"ROM",NA
"750",1985,"ROM",NA
